,ath,atl,market_rank,max_supply,name,roi,total_supply
0,2.53,0.103962,57,No Data,0x,183.81%,1000000000 ZRX
1,0.054702,0.00267,407,No Data,12ships,-94.12%,4983486748 TSHP
2,14.81,0.160952,265,No Data,1irstcoin,323.31%,100000000 FST
3,57.85,27.54,44,16000000 AAVE,aave,5248.86%,16000000 AAVE
4,2.05,0.029351,56,1500000000 ABBC,abbc-coin,-7.21%,1428727371 ABBC
5,0.116509,0.000102,260,No Data,advanced-internet-blocks,-12.33%,31413254180 AIB
6,3.71,0.03488,199,150000000 ADX,adx-net,5.98%,114223491 ADX
7,2.77,0.035013,143,1000000000 ELF,aelf,-93.09%,880000000 ELF
8,0.532361,0.016102,456,500000000 AERGO,aergo,-77.04%,500000000 AERGO
9,5.86,0.0545,178,No Data,aeternity,-86.78%,370021644 AE
10,0.082571,0.000454,296,No Data,agavecoin,697.30%,35000000000 AGVC
11,3.98,0.053976,362,42000000 AGRS,agoras-tokens,260.39%,42000000 AGRS
12,10,0.040638,184,No Data,aion,-90.50%,477861253 AION
13,2.08,0.007028,383,No Data,airswap,-71.46%,500000000 AST
14,0.050008,0.000534,353,No Data,akropolis,71.99%,4000000000 AKRO
15,3.28,0.102403,52,No Data,algorand,-93.01%,10000000000 ALGO
16,0.003932,0.000156,488,No Data,amo-coin,-66.54%,19679012762 AMO
17,0.012408,0.003414,377,1200105201 AMP,amp,-61.94%,85231428501 AMP
18,4.04,0.294547,74,No Data,ampleforth,16.87%,208675254 AMPL
19,1.02,0.513862,473,No Data,anchor,-0.09%,759493671 ANCT
20,0.018332,0.000711,148,No Data,ankr,-48.68%,10000000000 ANKR
21,0.727018,0.023906,512,204047845 APIX,apix,51.18%,204047845 APIX
22,1.07,0.037293,338,No Data,apm-coin,-82.54%,1812500000 APM
23,0.009139,0.000375,386,No Data,apollo-currency,-43.94%,21165096531 APL
24,11.45,0.28545,78,No Data,aragon,90.75%,39609524 ANT
25,2.55,0.008368,131,998999495 ARDR,ardor,27.78%,998999495 ARDR
26,9.99,0.030143,161,No Data,ark,1724.90%,153134244 ARK
27,0.062323,0.003471,422,No Data,arpa-chain,-48.78%,1490000000 ARPA
28,7.81,0.48545,117,66000000 AR,arweave,1784.34%,63190435 AR
29,0.100944,0.000569,553,No Data,aryacoin,334.66%,200459554 AYA
30,0.727204,0.006415,603,No Data,atari-token,13.74%,7771000000 ATRI
31,0.601985,0.026677,242,3000000000 ATT,attila,50.98%,3000000000 ATT
32,0.530863,0.077742,484,No Data,audius,-83.18%,1000000000 AUDIO
33,99.8,0.782968,72,No Data,augur,755.40%,11000000 REP
34,0.061199,0.000706,461,No Data,aurora,-97.16%,10000000000 AOA
35,11.46,3.24,95,720000000 AVAX,avalanche,"<span class=""cmc--change-positive"">557.23%</span>",360000000 AVAX
36,0.202141,0.100024,261,1000000000 AXEL,axel,40.73%,758342865 AXEL
37,5.67,0.115088,389,No Data,b2bx,-52.63%,19822337 B2B
38,18.66,0.283683,258,580000000 BRC,baer-chain,-69.99%,580000000 BRC
39,10,0.117415,152,No Data,bancor,-88.14%,69872180 BNT
40,17.69,0.204181,92,No Data,band-protocol,764.82%,100000000 BAND
41,0.011372,0.000421,266,No Data,bankera,-85.68%,25000000000 BNK
42,0.980702,0.066209,48,No Data,basic-attention-token,6.72%,1500000000 BAT
43,0.01409,0.00302,349,10000000000 BASIC,basic,8.49%,8326258167 BASIC
44,0.686583,0.543821,214,No Data,basid-coin,17.39%,10000000000 BASID
45,19.44,0.056823,392,No Data,bdcc-bitica-coin,-48.73%,18000000 BDCC
46,3.21,0.14834,370,262800000 BEAM,beam,-63.08%,73948960 BEAM
47,0.171587,0.0144,230,No Data,beldex,-9.37%,1400222610 BDX
48,10.03,0.686843,475,100000000 BEL,bella-protocol,-92.68%,100000000 BEL
49,0.039312,0.009718,415,No Data,beowulf,-40.53%,3000000000 BWF
50,0.218622,0.019319,298,No Data,bhex-token,87.90%,1357691032 BHT
51,2.23,0.445881,436,100000000 BHP,bhp-coin,-27.85%,52881278 BHP
52,11.92,0.000803,322,13508522147 ONE,bigone-token,-99.96%,12886573798 ONE
53,0.051114,0.025609,500,1000000000 BIKI,biki,-35.58%,510728079 BIKI
54,39.57,0.096109,7,176406561 BNB,binance-coin,> 9000%,176406561 BNB
55,1.11,0.886124,27,No Data,binance-usd,-0.58%,686200387 BUSD
56,0.303155,0.063697,413,No Data,bit-z-token,-63.08%,674513630 BZ
57,2476.04,0.641418,246,1000000 BTRS,bitball-treasure,2739.62%,1000000 BTRS
58,0.22295,0.055828,244,No Data,bitbook-gambling,-8.46%,730756054 BXK
59,85563.99,1602.69,114,No Data,bitcoin-bep2,35.46%,9001 BTCB
60,4355.62,75.03,5,21000000 BCH,bitcoin-cash,-56.30%,18562488 BCH
61,99.37,0.266371,97,210000000 BCD,bitcoin-diamond,-99.33%,189492898 BCD
62,539.72,4.31,75,21000000 BTG,bitcoin-gold,-98.55%,17513924 BTG
63,441.2,36.87,12,21000000 BSV,bitcoin-sv,72.36%,18560989 BSV
64,20089,65.53,1,21000000 BTC,bitcoin,> 9000%,18533137 BTC
65,42.81,1.98,437,21000000 BHD,bitcoinhd,-93.28%,6339465 BHD
66,189.5,1.42,206,21000000 BPS,bitcoinpos,> 9000%,3979062 BPS
67,0.009636,0.001176,412,No Data,bitkan,-78.03%,10000000000 KAN
68,0.341468,0.014093,286,No Data,bitmax-token,154.60%,780615274 BTMX
69,0.916782,0.002387,135,3600570502 BTS,bitshares,15.75%,2997490000 BTS
70,0.001861,0.000139,47,No Data,bittorrent,128.98%,990000000000 BTT
71,57.24,0.00973,479,No Data,blocknet,1525.10%,7255940 BLOCK
72,0.319328,0.045008,83,2048913388 STX,blockstack,-50.41%,890073513 STX
73,5.35,0.123319,309,100000000 BLCT,bloomzed-token,177.66%,100000000 BLCT
74,0.913922,0.006067,401,No Data,bluzelle,-86.90%,500000000 BLZ
75,120.19,1.81,299,35000000 BONO,bonorum,101.86%,681065 BONO
76,0.106875,0.00621,346,No Data,bora,-60.53%,1205750000 BORA
77,0.229702,0.006872,195,No Data,bosagora,80.59%,450000000 BOA
78,0.120954,0.006616,221,No Data,botxcoin,587.60%,5000000000 BOTX
79,949.15,131.61,513,100000 BOT,bounce-token,99.26%,100000 BOT
80,0.752381,0.001933,263,200000000 BRZE,breezecoin,-23.19%,200000000 BRZE
81,0.018532,0.001104,284,No Data,bridge-oracle,-53.78%,10000000000 BRG
82,3.2,0.991,478,200000000 BTSE,btse,13.84%,165904711 BTSE
83,1.22,0.085045,284,100000000 BTU,btu-protocol,-10.11%,100000000 BTU
84,0.099331,0.001176,311,No Data,buggyra-coin-zero,-22.69%,10000000000 BCZERO
85,0.030134,0.000006,292,184470000000 BCN,bytecoin-bcn,107.76%,184066828814 BCN
86,1.17,0.03129,101,2100000000 BTM,bytom,-52.02%,1631681738 BTM
87,1.66,0.096315,403,No Data,bzx-protocol,-41.61%,1030000000 BZRX
88,3.96,0.163678,290,No Data,c20,-83.97%,40656082 C20
89,5.69,0.002865,1202,No Data,canyacoin,-99.77%,95826983 CAN
90,1.33,0.017354,11,45000000000 ADA,cardano,328.69%,45000000000 ADA
91,0.079546,0.00081,507,No Data,carry,-65.93%,7329872058 CRE
92,0.003446,0.000114,454,No Data,casinocoin,-38.29%,39999619701 CSC
93,0.030469,0.001014,392,10000000000 CELR,celer-network,-88.18%,10000000000 CELR
94,1.01,0.330333,380,1000000000000000 CUSD,celo-dollar,-1.01%,15430981 CUSD
95,4.73,0.795534,59,1000000000 CELO,celo,87.82%,1000000000 CELO
96,1.46,0.022345,39,No Data,celsius,540.31%,695658161 CEL
97,0.541558,0.011004,249,No Data,centrality,-88.59%,1200000000 CENNZ
98,1.94,0,363,No Data,certik,> 9000%,100000000 CTK
99,19.85,0.126297,6,No Data,chainlink,6470.09%,1000000000 LINK
100,19.73,0.544636,343,21000000 PCX,chainx,-67.62%,7435650 PCX
101,0.022039,0.004001,134,No Data,chiliz,-56.49%,8888888888 CHZ
102,1.19,0.005204,286,No Data,chimpion,5889.47%,100000000000 BNANA
103,0.128535,0.008369,496,1000000000 CHR,chromia,-79.51%,486391731 CHR
104,0.347056,0.002262,371,No Data,cindicator,-60.92%,2000000005 CND
105,61.3,4.29,212,2000000000 CIPHC,cipher-core-token,16.93%,200000000 CIPHC
106,1.66,0.010813,362,No Data,civic,-84.81%,1000000000 CVC
107,0.002425,0.000194,471,100000000000 COCOS,cocos-bcx,-88.69%,100000000000 COCOS
108,0.096376,0.015168,466,330000000 XCM,coinmetro-token,12.72%,330000000 XCM
109,381.89,61.25,38,No Data,compound,-15.56%,10000000 COMP
110,0.038461,0.000897,420,No Data,constellation,-68.29%,3711998690 DAG
111,0.035189,0.001845,417,No Data,content-value-network,-31.18%,1000000000 CVNT
112,0.085274,0.004264,425,No Data,contentos,-87.77%,13500000000 COS
