name,mean,std,amin,amax
0x,247701783.34736842,6989251.079378493,235130636,261899342
12Ships,14226373.230366493,558013.0584278641,13331048,15135199
1irstcoin,38125480.15183246,1962894.7468303442,32321359,42544058
ABBC Coin,222376820.69473684,8109512.904630753,206454402,235184516
AMO Coin,10314469.315789474,705422.6821312697,9202407,11273589
APIX,9376187.75,78558.22745528727,9261297,9435779
ARPA Chain,13481376.71875,620402.8122331414,12616766,14569732
AXEL,43304434.942408375,1070167.068403663,36827784,45403049
Aave,335809171.18421054,18787691.13614796,311293915,382295901
AdEx Network,21982035.2746114,637607.8749631081,20666582,23206805
Advanced Internet Blocks,42486602.403141364,844067.0104815883,41102213,44353987
Aergo,11058702.041666666,189737.9117512201,10736239,11584267
Aeternity,29624336.635416668,776651.4136220925,28271249,30829392
AgaveCoin,23261579.120418847,455474.7450068585,22561747,24201917
Agoras Tokens,14667019.723958334,922234.3036634048,13498256,16418040
Aion,29031614.380208332,1076649.1719495596,27413782,31200691
AirSwap,16150908.664921466,729690.3285326556,14654888,17568601
Akropolis ,19164546.078534033,1643464.9942935589,16601039,22429485
Algorand,265180773.74736843,11624208.74517436,248088062,285365908
Amp,15844738.842931937,462292.35291177104,15051774,16991391
Ampleforth,114263411.65263158,4647548.37009101,106214694,124954101
Anchor,10204477.0625,69292.14005490638,10048688,10355151
Ankr,40031464.5,1792993.975748885,37302870,43261962
Apollo Currency,15451866.429319372,356706.1786578399,14899728,16489478
Aragon,117045402.33157894,3828966.9497708697,110456948,123892734
Ardor,48114322.0625,1775859.4777161668,45103442,55439259
Ark,34908408.109375,721519.8858608787,33738914,36372117
Arweave,66284638.958333336,6847392.966006098,56942734,77613480
Aryacoin,9593757.803030303,327967.427083484,9045455,10322271
Atari Token,14881087.347222222,2263772.391039446,8968509,19388087
Attila,67119980.31413613,488492.70406142203,66252391,68354839
Audius,10927171.119791666,923692.0196970351,9442396,12299856
Augur,139797631.0631579,3932522.25861327,133683068,149768151
Aurora,11065045.203125,219253.22378799622,10587762,11529510
Avalanche,87228024.61052631,4162222.7638709513,80221992,94282531
B2BX,14727616.041884817,2025.5159286414653,14721293,14732165
BASIC,16563490.031413613,415149.6422880378,15662875,17459953
BDCC Bitica COIN,15052160.411458334,1180029.0120678365,12810054,19091491
BHEX Token,23541116.06842105,798531.5417123818,22873247,25503607
BHPCoin,11957447.421875,63009.94594975454,11873645,12108482
BIKI,9407754.436363636,73205.99303026249,9129178,9522415
BORA,18006640.811518326,262601.85875496536,17610179,18521642
BOSAGORA,22216426.296296295,416527.6126283088,21376582,23286160
BTSE,9982843.28125,149913.6703249484,9611919,10726843
BTU Protocol,26939932.869109947,540461.4431888828,25555634,27727771
Baer Chain,61878398.057591625,4048078.7707528,52426996,67193086
Balancer,63509546.520833336,3349175.185808787,58533929,71168317
Bancor,41296716.90625,1401747.1776638438,39712349,45271080
Band Protocol,86572274.16842106,3834476.1813273723,81088086,94546363
