name,mean,std,amin,amax
#MetaHash,7368416.546875,224573.07549701096,5737198.0,7753028.0
0chain,8396183.307291666,299856.6337830482,7901104.0,8848842.0
0x,240236851.53645834,6634224.393689576,229003384.0,254011294.0
ARPA Chain,13859302.21875,620176.0077678032,13000706.0,14956177.0
AXEL,15405051.317708334,496949.94327697763,13107058.0,16385034.0
Aave,335692633.0520833,18286853.664507695,311498852.0,370427447.0
Aave DAI,34524606.885416664,209658.0294170347,33519910.0,34576671.0
Aave ETH,210183391.16145834,97145.433198096,209703300.0,210213657.0
Aave LINK,331242527.9739583,1384900.9101271767,330341112.0,337304117.0
Aave MKR,9128883.916666666,115420.8577058677,8976775.0,9238065.0
Aave SNX,7307445.291666667,25401.95395168251,7222068.0,7335569.0
Aave TUSD,64203673.421875,35179.97135960931,63975677.0,64380602.0
Aave USDC,146918819.546875,6766780.732857479,122349814.0,148882736.0
Aave USDT,11607822.666666666,29369.23612375319,11591293.0,11659765.0
Aave WBTC,8291448.416666667,13145.830146994445,8270735.0,8299702.0
Aave [OLD],51532505.614583336,2843806.1252341736,47575452.0,57447463.0
Aavegotchi,9218632.822916666,127306.14614677362,8979477.0,9450507.0
Achain,5006121.10989011,189963.90465405118,4626428.0,5368672.0
AdEx,21993719.276041668,648768.4340899638,20637435.0,23149086.0
Aergo,11055841.708333334,187340.3210434366,10743514.0,11577930.0
Aeternity,33854979.385416664,888738.4201625632,32186416.0,35319515.0
Aion,29041295.645833332,966957.2901000911,27449845.0,30941240.0
AirSwap,18686352.171875,657821.748572229,17186588.0,19994988.0
Akash Network,8645105.125,338714.9447503571,7834754.0,9076418.0
Akropolis,19172394.947916668,1621759.3907290879,16577274.0,22190313.0
Alchemy Pay,6645983.098958333,252691.02919214233,6186307.0,7183391.0
Aleph.im,5699140.411458333,239881.5362543154,5239603.0,6126259.0
Algorand,195237543.80729166,8338715.6839699,182911969.0,209411835.0
Alpha Finance,4930998.973404256,155312.57808608832,4590585.0,5202446.0
Ampleforth,148960865.78125,6516544.288497307,135971729.0,163090741.0
Ankr,40017748.421875,1774996.8755307847,37022941.0,42940091.0
Apollo,15565845.572916666,333475.2534298914,14976162.0,16610506.0
Aragon,102323467.515625,3192106.777448655,96963940.0,107833726.0
Aragon Court,4653682.0,,4653682.0,4653682.0
Arcblock,6590983.828125,274495.3864081104,6297068.0,7130997.0
Ardor,48193312.875,1993758.7522172173,45617375.0,59276370.0
Ark,42819196.229166664,973223.3604394869,41039452.0,44780098.0
Arweave,86964678.77083333,8929281.775558563,74614552.0,101726011.0
Atari,10211151.27027027,3983214.552680422,4629007.0,16076534.0
Audius,5880343.166666667,471514.1614198115,5042255.0,6568784.0
Augur,66814734.276041664,1640059.6540568613,64786829.0,72294171.0
Aurora,7356389.911458333,141095.48677286837,7033014.0,7647907.0
Avalanche,87195554.55729167,4084771.646094187,79966392.0,94187642.0
B2BX,11819278.28125,899768.8695315643,9733926.0,12222836.0
BEAM,16801689.734375,530966.4303734698,15908012.0,17829162.0
BEAT,4575215.0,0.0,4575215.0,4575215.0
BOSAGORA,22219090.817708332,426274.351578619,21071707.0,23115776.0
BOScoin,19292817.109756097,3471548.041320135,8360063.0,25291810.0
BTSE Token,16184973.994791666,265474.15654516476,15566419.0,17455247.0
BTU Protocol,23929428.854166668,479754.5111647434,22705543.0,24603771.0
Balancer,75530379.71354167,3376254.7729490655,71316863.0,82732017.0
