name,mean,std,amin,amax
0x,0.3329603315789473,0.009394939179742403,0.316062,0.352045
12Ships,0.0028952565445026176,0.0001132910650381154,0.0027129999999999997,0.0030800000000000003
1irstcoin,1.090175465968587,0.056410340746669965,0.9243299999999999,1.22
ABBC Coin,0.3170229157894736,0.011638777803762641,0.294317,0.335555
AMO Coin,0.000568626315789474,3.9534090066170184e-05,0.0005059999999999999,0.0006219999999999999
APIX,0.08317449999999998,0.0006970569082459037,0.08215499999999999,0.083703
ARPA Chain,0.01407334375000002,0.0006476521079599956,0.013171,0.015209
AXEL,0.16580190052356025,0.0040974284214614016,0.141004,0.173837
Aave,29.77657894736843,1.677293228120657,27.59,33.92
AdEx Network,0.21538051813471515,0.006257862058453991,0.202488,0.227404
Advanced Internet Blocks,0.001754643979057592,3.4860759916824706e-05,0.001698,0.001832
Aergo,0.04188589062499996,0.0007186308706760457,0.040665,0.043876
Aeternity,0.09140095833333332,0.002406900678847406,0.087219,0.095138
AgaveCoin,0.059550471204188486,0.0011660433177645084,0.057759000000000005,0.061958000000000006
Agoras Tokens,0.49116312499999976,0.03088341305543916,0.452024,0.549801
Aion,0.06075324479166669,0.002253031351225794,0.057367999999999995,0.065292
AirSwap,0.10767269109947644,0.004864589027253818,0.097699,0.117124
Akropolis ,0.009602198952879587,0.0008234684745820443,0.008318,0.011238
Algorand,0.2429485842105264,0.010649654825156936,0.227289,0.261441
Amp,0.0037508481675392683,0.00010944420825383348,0.003563,0.0040219999999999995
Ampleforth,1.0529650631578955,0.041678043327319066,0.982978,1.14
Anchor,0.7963453229166665,0.005407478232742686,0.784188,0.808104
Ankr,0.006867010416666664,0.00030757216817257866,0.006399,0.007421
Apollo Currency,0.0010522408376963343,2.4270072698042207e-05,0.001015,0.001123
Aragon,2.9548947368421086,0.09678831685193705,2.79,3.13
Ardor,0.04816251041666666,0.0017776508558589193,0.045149,0.055495
Ark,0.27951797395833333,0.005793730804311348,0.27011399999999997,0.291238
Arweave,1.9850000000000012,0.20500798094539757,1.71,2.32
Aryacoin,0.059789272727272726,0.0020438930165096836,0.056372000000000005,0.064329
Atari Token,0.21664131944444445,0.032956456432918085,0.13056500000000001,0.28225500000000003
Attila,0.14902879581151823,0.0010846251038872212,0.147102,0.15177100000000002
Audius,0.09105976562500002,0.0076974399662346395,0.078687,0.102499
Augur,12.70905263157895,0.3575669506531454,12.15,13.62
Aurora,0.001691249999999999,3.3540005026427334e-05,0.0016179999999999999,0.0017620000000000001
Avalanche,3.5601578947368395,0.17007149544142178,3.27,3.85
B2BX,0.7502684921465966,0.00010319898352766863,0.749946,0.7505
BASIC,0.006170198952879577,0.00015461565999175882,0.005835,0.006504
BDCC Bitica COIN,4.075416666666666,0.3513159007633242,3.44,5.27
BHEX Token,0.12032906315789473,0.004081682118517406,0.116915,0.13036
BHPCoin,0.5926106406250001,0.0031227835835939068,0.588457,0.600096
BIKI,0.029875545454545453,0.00023250175771392985,0.028991000000000003,0.030239999999999996
BORA,0.023011465968586366,0.0003355782246934435,0.022505,0.02367
BOSAGORA,0.07874819576719574,0.001476458431079389,0.075771,0.08254
BTSE,2.292239583333337,0.03442397946387266,2.21,2.46
BTU Protocol,0.29928482198952894,0.006004180421720107,0.283906,0.308037
Baer Chain,0.35562298952879606,0.023264826553130707,0.30130500000000005,0.386167
Balancer,9.146302083333318,0.48242990147643955,8.43,10.25
Bancor,0.5914447604166668,0.020921997211905134,0.567348,0.649482
Band Protocol,4.224210526315788,0.1868880713458234,3.96,4.61
Bankera,0.0014766858638743446,4.352985375049249e-05,0.001351,0.001524
Basic Attention Token,0.18361166315789468,0.004457680677012663,0.17563900000000002,0.193228
Basid Coin,0.6624314921465967,0.005488493925207752,0.6480020000000001,0.671006
Beam,0.22783381675392678,0.00717416239474992,0.21451199999999998,0.239457
Beldex,0.08579378010471207,0.0013229603064507309,0.08335,0.089411
Bella Protocol,0.7557863802083334,0.030116996433129078,0.703919,0.7951020000000001
Beowulf,0.013687539267015708,0.002081471331149518,0.009722,0.015893
BigONE Token,0.002137361256544502,2.4970305870270846e-05,0.002095,0.002179
Binance Coin,27.638157894736846,0.9368873808283137,25.9,29.28
Binance USD,0.9998757894736809,5.288660020463093e-05,0.9997,1.0
Bit-Z Token,0.1083843645833333,0.00235587628951817,0.10376500000000001,0.11207400000000001
BitKan,0.0020689010416666633,4.274097803160032e-05,0.002008,0.002216
BitMax Token,0.041054659685863894,0.0009964392893001255,0.039793,0.042972
BitShares,0.01598175520833333,0.0009261112569136344,0.01426,0.017233000000000002
BitTorrent,0.0002864210526315793,9.16235563547211e-06,0.000272,0.000303
Bitball Treasure,334.3919895287956,13.658745731885869,251.95,343.55
Bitbook Gambling,0.16247623036649214,0.010045174081922391,0.13849,0.17413499999999998
Bitcoin,13580.152631578947,130.55213630005892,13291.77,13842.39
Bitcoin BEP2,13037.744583333331,468.41185939605066,12377.46,14237.37
Bitcoin Cash,252.58499999999998,10.712314712886991,238.07,270.46
Bitcoin Diamond,0.44497244210526293,0.019332394324331627,0.39407600000000004,0.46951400000000004
Bitcoin Gold,7.021368421052642,0.11805397856335187,6.83,7.29
Bitcoin SV,157.22273684210523,5.484792625252241,147.04,166.52
BitcoinHD,2.1929687499999995,0.17787883122922954,1.99,2.52
BitcoinPoS,136.90460732984292,3.720886952518119,122.56,144.22
Blocknet,1.3537142857142854,0.06034633934439521,1.27,1.46
Blockstack,0.15094754736842111,0.005293830608700776,0.141785,0.16047
Bloomzed Loyalty Club Ticket,0.5158250261780104,0.027654872708636567,0.491957,0.561975
Bluzelle,0.0567191761658031,0.0027634554098333684,0.052408,0.060536
Bonorum,35.657015706806284,0.7146254040915786,34.56,37.08
Bounce Token,365.56509433962265,11.184668356322792,344.61,387.75
Breezecoin,0.41038608900523565,0.0075716827933831835,0.39613200000000004,0.42440200000000006
Bridge Oracle,0.003966643979057589,0.0001673366255969959,0.0032840000000000005,0.004340999999999999
Buggyra Coin Zero,0.0104243612565445,0.00015656897039657705,0.010187,0.010712000000000001
Bytecoin,0.0001390471204188481,5.459215249287614e-06,0.000128,0.000152
Bytom,0.05513450264550258,0.0024545006070576096,0.051226999999999995,0.059779
CONTRACOIN,0.8885274895833334,0.00613168996117653,0.8717020000000001,0.8981600000000001
CONUN,0.006934806282722512,0.0001461673127916804,0.006647,0.007325
