name,mean,std,amin,amax
0x,32262271.821052633,2025849.9308026948,24801245,36041337
12Ships,130570.50785340313,36222.33845060531,64856,198642
1irstcoin,39872.58115183246,4542.889439026868,32414,52577
ABBC Coin,33972997.67368421,2871623.8876837622,29312286,39241717
AMO Coin,304469.95263157896,116491.00640114775,158030,480694
APIX,47208.25,3141.0414806769645,42750,49448
ARPA Chain,6398707.34375,1433674.90696612,5021938,11110291
AXEL,357557.49214659684,35384.18065729498,295184,440456
Aave,72062209.28421053,10951032.592112252,48573923,89875322
AdEx Network,446265.4766839378,85305.22506479267,111820,597136
Advanced Internet Blocks,2.282722513089005,0.4515061595033234,2,3
Aergo,5299587.598958333,1308529.2194262343,3691928,8368630
Aeternity,8581150.567708334,1289709.6952678955,6276845,10038312
AgaveCoin,21432.858638743455,3658.5100930521485,12735,28045
Agoras Tokens,3683.7135416666665,760.9959485715837,1489,4393
Aion,1631211.5,89957.31093886032,948612,1796311
AirSwap,11062796.670157067,3433216.9513454554,3341242,16447127
Akropolis ,9272721.47643979,2629757.8641366903,5119778,13031644
Algorand,58254958.21052632,9474774.673296928,32634875,68417046
Amp,117365.05759162303,6791.6499547011435,93746,128850
Ampleforth,1663397.494736842,310466.4434583379,834527,2138175
Anchor,15315.723958333334,1854.058232267161,12198,19281
Ankr,11312757.078125,727135.0482297282,9002889,12169332
Apollo Currency,975046.6649214659,161809.90025411025,565801,1132949
Aragon,17188041.43157895,946643.1115554571,15375286,19007292
Ardor,4549577.9375,2177296.654153522,1433340,7908482
Ark,1062467.765625,115219.90250185253,881463,1251262
Arweave,2624926.7708333335,452281.5610659824,1021255,3551395
Aryacoin,290955.6515151515,76262.56013768236,194224,403184
Atari Token,101769.97222222222,61078.69330417683,0,168927
Attila,486903.1518324607,48928.35400635878,400533,568255
Audius,577276.6875,224189.72276704063,53573,1088216
Augur,8910734.778947368,1385356.952279768,5387042,12088590
Aurora,1318359.4895833333,331596.7345507528,189279,1716267
Avalanche,19488665.67368421,4210270.924908795,3696775,24251135
B2BX,25349.869109947645,14564.331578737458,237,39129
BASIC,574289.9476439791,245998.8643198376,160562,1102905
BDCC Bitica COIN,7299634.765625,2818480.0396202086,2189815,13263177
BHEX Token,144829.67894736843,88003.39897005467,11965,271795
BHPCoin,2792524.5364583335,673396.8198400167,1184254,3572622
BIKI,1044196.9454545454,57391.41365848385,907336,1114931
BORA,434311.1989528796,107511.47311109687,107031,523441
BOSAGORA,317366.50793650793,79043.88881135259,104592,420539
BTSE,287358.8385416667,158753.93903978943,67550,530321
BTU Protocol,64782.34031413613,17953.178804422812,17748,78837
Baer Chain,4268.712041884817,2206.5482655547444,1700,9258
