name,mean,std,amin,amax
#MetaHash,310549.5625,130514.21427856054,32912.0,504416.0
0chain,93964.14583333333,14027.796649785443,64836.0,114356.0
0x,30772680.130208332,1919831.8094537854,24080252.0,33907830.0
ARPA Chain,5808423.635416667,1743773.6658661643,4053498.0,10920626.0
AXEL,344854.1927083333,51355.4770209728,175695.0,432147.0
Aave,102836741.1875,10988772.803166602,78196618.0,122571589.0
Aave DAI,1499644.7568229185,818875.1975101788,1296.34,1960028.0
Aave ETH,0.0,0.0,0.0,0.0
Aave LINK,5001014.109375,234069.00241902657,4688659.0,5374165.0
Aave MKR,388667.7083333333,4897.8960299222135,382217.0,393298.0
Aave SNX,72004.70833333333,226.7819253526754,70940.0,72051.0
Aave TUSD,4252365.505208333,10266.631508120845,4226846.0,4272726.0
Aave USDC,48260198.713541664,71053.42217884457,48154220.0,48461770.0
Aave USDT,9558182.833333334,24183.16070014964,9544572.0,9600953.0
Aave WBTC,3011717.9583333335,4775.107187316772,3004194.0,3014716.0
Aave [OLD],400076.4895833333,172816.90094256587,185769.0,667178.0
Aavegotchi,1460794.9375,121413.09808687709,1158762.0,1689770.0
Achain,3778889.104395604,290602.63092310657,2247954.0,4998166.0
AdEx,479098.7447916667,45054.577274858624,397983.0,587801.0
Aergo,5284162.828125,1298723.7912144505,3656701.0,8258915.0
Aeternity,9175249.697916666,1122730.6688803157,7194360.0,10927831.0
Aion,658325.1041666666,72701.1023139572,476770.0,777646.0
AirSwap,1463736.890625,1340216.252659317,784658.0,6107654.0
Akash Network,455624.5416666667,29488.586985350914,375671.0,490817.0
Akropolis,8221657.322916667,2150824.2339744093,4860317.0,11145973.0
Alchemy Pay,3327302.9427083335,391348.9481356256,2712537.0,4205028.0
Aleph.im,99808.69791666667,15465.150648084677,36991.0,128258.0
Algorand,54321307.395833336,2524794.9359064437,49375787.0,58819169.0
Alpha Finance,5823680.914893617,1447640.9021303495,2917791.0,7716392.0
Ampleforth,3992478.8020833335,931131.8171316693,1733022.0,5551841.0
Ankr,12325158.854166666,714666.2912912437,9963719.0,13349763.0
Apollo,980033.9583333334,158895.77526269655,575237.0,1137889.0
Aragon,15719808.302083334,920052.0820306632,13113355.0,17498973.0
Aragon Court,394003.0,,394003.0,394003.0
Arcblock,2594395.84375,166935.6427641041,2365331.0,3025118.0
Ardor,6426364.807291667,2651720.0023368704,2642572.0,9734498.0
Ark,1039554.7239583334,110275.502988674,879016.0,1232524.0
